university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-28,none,jeffrey nash,male,82,1748,general rodriguez,bmorgan@hotmail.com
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,none,jasmine rojas,female,27,1748,general rodriguez,yvonne16@gmail.com
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-11-04,none,matthew carter,male,62,1748,general rodriguez,brownanthony@gmail.com
universidad tecnológica nacional,ingeniería en informática,2020-11-27,none,laurie thompson,female,109,1748,general rodriguez,brocktammy@gmail.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-25,none,melissa reynolds,female,16,3371,cabure,jonathon04@hotmail.com
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-11-25,none,angela chavez,female,35,3371,cabure,sandraparsons@hotmail.com
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-26,none,tracy reed,male,93,3371,cabure,torressandra@gmail.com
universidad tecnológica nacional,licenciatura en sociología,2021-01-17,none,leonard weber,male,85,1723,mariano acosta,dmercado@yahoo.com
universidad tecnológica nacional,arquitectura,2020-10-09,none,danny brown,male,48,1826,remedios de escalada,lisa01@hotmail.com
universidad tecnológica nacional,licenciatura en sociología,2020-11-05,none,william williams,male,80,4740,agua salada,smithemma@gmail.com
universidad tecnológica nacional,licenciatura en sociología,2020-10-08,none,sierra dean,female,43,5436,colonia zapata,lhobbs@gmail.com
universidad tecnológica nacional,licenciatura en ciencias de la educación,2021-01-26,none,carmen evans,female,67,5436,colonia zapata,jchapman@hotmail.com
universidad tecnológica nacional,actuario,2021-01-18,none,timothy taylor,male,86,5436,colonia zapata,wagnergloria@hotmail.com
universidad tecnológica nacional,ingeniería electrónica,2020-09-30,none,jeffrey martin,male,37,4648,barrio la union,steven54@hotmail.com
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-11-13,none,alvin walker,male,88,4648,barrio la union,lyonssydney@gmail.com
universidad tecnológica nacional,bioquímica,2020-11-05,none,michael watkins,male,64,9031,bajo la cancha,michelle01@hotmail.com
universidad tecnológica nacional,técnico para bioterios,2021-01-11,none,scott ferguson,male,60,9031,bajo la cancha,jennymorrison@hotmail.com
