university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de tres de febrero,ingeniería electrónica,2020-12-12,none,jason mahoney,male,79,6315,colonia baron,denise97@hotmail.com
universidad nacional de tres de febrero,licenciatura en ciencias de la computación,2020-10-27,none,ashley allen,female,101,5444,ampacama,xclark@hotmail.com
universidad nacional de tres de febrero,arquitectura,2020-10-23,none,crystal robles,female,103,8134,argerich,burkedaniel@hotmail.com
universidad nacional de tres de febrero,contador público,2020-09-22,none,barbara simpson,female,44,8134,argerich,todd66@hotmail.com
universidad nacional de tres de febrero,licenciatura en artes,2020-11-11,none,sandra yang,female,68,8134,argerich,adamstina@gmail.com
universidad nacional de tres de febrero,licenciatura en producción de bioimagenes,2020-09-08,none,diana freeman,female,110,6365,azteazu,derek88@yahoo.com
universidad nacional de tres de febrero,licenciatura en psicología,2021-01-11,none,maria salazar,female,64,6365,azteazu,elizabethpearson@yahoo.com
universidad nacional de tres de febrero,técnico para bioterios,2020-10-31,none,luis burke,male,111,6365,azteazu,williamscarlos@yahoo.com
universidad nacional de tres de febrero,licenciatura en administración,2020-12-03,none,nicholas irwin,male,92,6365,azteazu,tharrison@hotmail.com
universidad nacional de tres de febrero,arquitectura,2020-10-20,none,mrs. christine ware dvm,female,107,6365,azteazu,phillip35@hotmail.com
universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2020-10-25,none,nicholas vega,male,73,4616,barcena,rhonda86@hotmail.com
universidad nacional de tres de febrero,técnico para bioterios,2020-12-19,none,samuel meyer,male,49,4616,barcena,robinsonpaul@yahoo.com
universidad nacional de tres de febrero,técnico para bioterios,2020-11-14,none,charles cameron,male,48,4616,barcena,anthonylewis@gmail.com
universidad nacional de tres de febrero,diseño industrial,2020-09-20,none,joshua hill,male,101,7249,el araza,kbarajas@gmail.com
universidad nacional de tres de febrero,actuario,2020-09-11,none,sarah ho,female,69,7249,el araza,jodicardenas@yahoo.com
universidad nacional de tres de febrero,ingeniería en informática,2020-11-24,none,jeffrey sims,male,59,7249,el araza,mlopez@yahoo.com
universidad nacional de tres de febrero,ciencias veterinarias,2020-11-22,none,william williams,male,39,3201,camba paso,aaron00@gmail.com
universidad nacional de tres de febrero,actuario,2020-12-24,none,john meadows,male,36,3201,camba paso,shawn52@hotmail.com
universidad nacional de tres de febrero,ingeniería electrónica,2021-01-08,none,dawn franklin,female,103,3201,camba paso,donna84@yahoo.com
universidad nacional de tres de febrero,licenciatura en producción de bioimagenes,2021-01-25,none,gary edwards,male,70,8319,campamento sol,baileychris@gmail.com
universidad nacional de tres de febrero,bioquímica,2021-01-19,none,jennifer lee,female,75,5360,chilecito,jamiewilliams@gmail.com
universidad nacional de tres de febrero,licenciatura en sociología,2020-09-12,none,cassandra patton,female,86,5360,chilecito,jennifer64@yahoo.com
universidad nacional de tres de febrero,licenciatura en ciencias antropológicas,2020-12-09,none,kayla ross,female,42,5360,chilecito,amanda88@gmail.com
universidad nacional de tres de febrero,ingeniería en informática,2020-09-09,none,mr. louis jackson,male,54,5360,chilecito,wendytrevino@yahoo.com
universidad nacional de tres de febrero,licenciatura en ciencia y tecnología de alimentos,2020-10-11,none,david white,male,103,1706,haedo,shortdebra@gmail.com
universidad nacional de tres de febrero,agronomía,2020-10-20,none,charles shaffer,male,111,1706,haedo,sawyeryvonne@hotmail.com
universidad nacional de tres de febrero,licenciatura en artes,2020-10-29,none,joseph smith,male,72,6309,alpachiri,kayleelewis@hotmail.com
universidad nacional de tres de febrero,ingeniería en informática,2020-10-12,none,steve smith,male,99,6309,alpachiri,jacob98@yahoo.com
universidad nacional de tres de febrero,licenciatura en ciencias ambientales,2020-09-16,none,bailey ritter,female,25,6309,alpachiri,lori29@gmail.com
universidad nacional de tres de febrero,licenciatura en gestión de agroalimentos,2020-10-20,none,michael barker,male,89,3122,arroyo corralito,bryan82@yahoo.com
universidad nacional de tres de febrero,licenciatura en kinesiología y fisiatría,2020-12-05,none,kimberly smith,female,67,3122,arroyo corralito,laura47@hotmail.com
universidad nacional de tres de febrero,licenciatura en artes,2021-01-11,none,mike davis,male,22,3122,arroyo corralito,gsanchez@hotmail.com
universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2020-10-31,none,kelly garrison,female,112,3122,arroyo corralito,matthew02@gmail.com
universidad nacional de tres de febrero,bioquímica,2020-09-01,none,laurie patterson,female,37,3023,cululu,montgomerydaniel@yahoo.com
universidad nacional de tres de febrero,licenciatura en musicoterapia,2021-01-11,none,lucas martinez,male,44,3023,cululu,tsalazar@hotmail.com
universidad nacional de tres de febrero,bioquímica,2020-10-08,none,matthew campbell,male,79,6380,boeuf,sullivanamber@gmail.com
universidad nacional de tres de febrero,medicina,2020-11-22,none,dr. john henderson,male,55,6380,boeuf,pspears@gmail.com
universidad nacional de tres de febrero,licenciatura en administración,2020-12-15,none,michael anderson,male,26,6380,boeuf,jorgehansen@gmail.com
universidad nacional de tres de febrero,ingeniería electrónica,2020-11-14,none,thomas colon,male,28,1875,wilde,misty40@hotmail.com
universidad nacional de tres de febrero,licenciatura en psicología,2020-09-24,none,kara cox,female,99,1875,wilde,valdezangela@hotmail.com
universidad nacional de tres de febrero,arquitectura,2020-11-22,none,tyler rush,male,43,1875,wilde,thomaslopez@gmail.com
universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2021-01-27,none,erin chaney,female,98,5327,capihuas,hcole@gmail.com
universidad nacional de tres de febrero,licenciatura en ciencias geológicas,2020-10-03,none,samuel mercado,male,42,5327,capihuas,kaitlyn32@gmail.com
universidad nacional de tres de febrero,licenciatura en ciencias antropológicas,2020-10-08,none,luis adams,male,68,3318,bonpland norte,jessicawells@yahoo.com
universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2020-10-22,none,monique hall,female,113,3318,bonpland norte,manthony@yahoo.com
universidad nacional de tres de febrero,licenciatura en artes,2020-10-17,none,brandon chang,male,88,3318,bonpland norte,kylejames@hotmail.com
universidad nacional de tres de febrero,ingeniería mecánica,2020-10-29,none,hunter ruiz,male,86,3318,bonpland norte,michaelmaldonado@gmail.com
universidad nacional de tres de febrero,contador público,2020-12-29,none,chelsea thomas,female,42,6409,jose maria blanco,gkane@gmail.com
universidad nacional de tres de febrero,licenciatura en gestión de agroalimentos,2020-12-18,none,gregory butler,male,37,6409,jose maria blanco,lopezfernando@gmail.com
universidad nacional de tres de febrero,agronomía,2020-12-09,none,jessica bailey,female,100,5473,aguayo,donaldruiz@hotmail.com
universidad nacional de tres de febrero,actuario,2020-12-08,none,matthew mathis,male,49,5473,aguayo,lowens@yahoo.com
universidad nacional de tres de febrero,licenciatura en terapia ocupacional,2020-10-26,none,jesus graves,male,108,5473,aguayo,rebeccadavis@gmail.com
universidad nacional de tres de febrero,diseño de imagen y sonido,2020-09-16,none,jessica porter,female,108,1895,arturo segui,vaguilar@hotmail.com
universidad nacional de tres de febrero,licenciatura en ciencia y tecnología de alimentos,2020-11-07,none,megan silva,female,70,1895,arturo segui,johnvillegas@hotmail.com
universidad nacional de tres de febrero,bioquímica,2020-10-04,none,kiara burke,female,87,9053,aguada grande,roberthenry@hotmail.com
universidad nacional de tres de febrero,técnico para bioterios,2020-12-21,none,jennifer jones,female,73,9053,aguada grande,taylor00@gmail.com
