university career inscription_date first_name last_name gender age location email
"facultad latinoamericana de ciencias sociales" "diseño de imagen y sonido" 2020-02-10 philip cortez male 99 "bella vista" ashley17@gmail.com
"facultad latinoamericana de ciencias sociales" "diseño de imagen y sonido" 2020-11-30 timothy olson male 105 barker connie29@hotmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en ciencias antropológicas" 2021-07-01 adrian wilson male 103 grutly schmidtchristopher@hotmail.com
"facultad latinoamericana de ciencias sociales" farmacia 2020-10-16 melissa hendrix female 9 "arroyo del medio" chelseawhite@hotmail.com
"facultad latinoamericana de ciencias sociales" "ingeniería mecánica" 2020-01-12 danielle watson female 57 acevedo russellgina@gmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en ciencias de la computación" 2020-10-22 george newman male 8 abralaite lsmith@gmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en psicología" 2020-11-16 kelly barnett female 70 aldao robertholmes@hotmail.com
"facultad latinoamericana de ciencias sociales" "actuario " 2021-01-20 stephanie jordan female 93 "barrio indio trompa" perrykimberly@hotmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en ciencias geológicas" 2021-01-20 jason newton male 50 "25 de mayo" martinbrianna@yahoo.com
"facultad latinoamericana de ciencias sociales" "ciencias veterinarias" 2020-12-14 mariah thomas female 84 boeuf calexander@hotmail.com
"facultad latinoamericana de ciencias sociales" "diseño industrial" 2020-12-11 maria randolph female 47 "alejandro korn" karldavis@hotmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en gestión de agroalimentos" 2020-12-15 tina thomas female 10 graciarena mflowers@yahoo.com
"facultad latinoamericana de ciencias sociales" arquitectura 2020-01-10  kelli female 39 "25 de mayo" gooderica@gmail.com
"facultad latinoamericana de ciencias sociales" "diseño industrial" 2020-11-28 johnny hopkins male 37 chancay josemorris@yahoo.com
"facultad latinoamericana de ciencias sociales" "licenciatura en relaciones del trabajo " 2020-07-12 timothy wilson male 70 "7 de abril" gardnerkurt@yahoo.com
"facultad latinoamericana de ciencias sociales" "licenciatura en producción de bioimagenes" 2020-02-10 monica skinner female 65 "alto con zampa" meyeranthony@hotmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en kinesiología y fisiatría" 2020-11-24 colin ortiz male 108 armstrong james58@yahoo.com
"facultad latinoamericana de ciencias sociales" arquitectura 2020-01-10 yolanda scott female 28 "colonia belgrano" snydercaleb@gmail.com
"facultad latinoamericana de ciencias sociales" "licenciatura en ciencia política " 2020-10-15 rodney martin male 49 albigasta gbrowning@yahoo.com
"facultad latinoamericana de ciencias sociales" "licenciatura en ciencias geológicas" 2020-12-09 roger torres male 2 avanzada aprilbrock@hotmail.com
