university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad abierta interamericana,licenciatura en kinesiología y fisiatría,2021-01-08,randy,williams,male,-26,,Juan-maria-gutierrez,joshua07@yahoo.com
universidad abierta interamericana,licenciatura en ciencias ambientales,2020-10-04,nichole,stanley,female,30,,El-rincon,dbutler@yahoo.com
universidad abierta interamericana,licenciatura en ciencias de la educación,2020-10-13,christine,davis,female,10,,Agua-verde,marvin72@yahoo.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-11-22,kevin,weaver,male,-39,,Capitan-lazo,millererika@hotmail.com
universidad abierta interamericana,licenciatura en psicología,2021-01-30,david,oliver,male,-21,,Llavallol,jorge05@yahoo.com
universidad abierta interamericana,licenciatura en artes,2020-10-12,alyssa,callahan,female,36,,Albigasta,jodi34@yahoo.com
universidad abierta interamericana,licenciatura en producción de bioimagenes,2020-11-13,tracy,pope,female,-21,,La-viticola,jamesgentry@hotmail.com
universidad abierta interamericana,bioquímica,2021-01-26,shawn,fleming,male,47,,Cantera-aguirre,betty11@hotmail.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,30,,25-de-mayo,james37@hotmail.com
universidad abierta interamericana,licenciatura en producción de bioimagenes,2021-01-21,tyrone,roberts,male,16,,Barra-bonita,millerrandall@gmail.com
universidad abierta interamericana,farmacia,2020-12-20,brandon,carter,male,34,,Alcorta,reedaustin@yahoo.com
universidad abierta interamericana,licenciatura en kinesiología y fisiatría,2020-11-13,henry,edwards,male,-27,,El-sombrerito,garyball@gmail.com
universidad abierta interamericana,diseño de imagen y sonido,2020-09-17,donna,sparks,female,43,,Alto-del-puesto,hrodriguez@yahoo.com
universidad abierta interamericana,licenciatura en psicología,2020-09-12,brandy,gibson,female,1,,Balsa,erinjackson@yahoo.com
universidad abierta interamericana,licenciatura en gestión de agroalimentos,2021-01-04,robert,price,male,21,,Cramer,sheparddiane@hotmail.com
universidad abierta interamericana,ingeniería mecánica,2020-12-14,johnny,williams,male,-44,,Capitan-castro,andreaboyd@yahoo.com
universidad abierta interamericana,licenciatura en gestión de agroalimentos,2020-12-11,lisa,green,female,-20,,El-durazno,hudsonbrianna@gmail.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2021-01-24,david,chung,male,36,,Alarcon,johnsonbrandon@hotmail.com
universidad abierta interamericana,licenciatura en ciencias geológicas,2020-09-30,jennifer,ramirez,female,-1,,Colonia-baron,woodangelica@hotmail.com
universidad abierta interamericana,licenciatura en ciencia y tecnología de alimentos,2020-11-28,jose,white,male,-36,,Planchada-banderita,jenniferbrown@yahoo.com
universidad abierta interamericana,licenciatura en ciencias ambientales,2020-12-29,drew,espinoza,male,27,,Britos,jmiller@gmail.com
universidad abierta interamericana,licenciatura en producción de bioimagenes,2021-01-01,dale,smith,male,-11,,Alumine,michaeljohnson@gmail.com
universidad abierta interamericana,farmacia,2020-10-10,lynn,sharp,female,0,,Azul,tamara73@hotmail.com
universidad abierta interamericana,licenciatura en administración,2020-10-29,julie,vargas,female,-42,,Bathurst-estacion,iochoa@yahoo.com
universidad abierta interamericana,licenciatura en gestión de agroalimentos,2020-09-22,benjamin,curry,male,15,,El-porvenir,rebekah32@hotmail.com
universidad abierta interamericana,licenciatura en ciencia política,2020-11-13,rhonda,guerrero,female,0,,Estacion-yerua,isabelwilliams@yahoo.com
universidad abierta interamericana,licenciatura en ciencias geológicas,2020-09-16,katie,williams,female,26,,El-bombero,michaelthomas@hotmail.com
universidad abierta interamericana,licenciatura en ciencias ambientales,2020-11-23,jennifer,king,female,3,,Campo-calvo,daniel32@gmail.com
universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-12-28,cynthia,riley,female,-31,,Masurel,erica19@gmail.com
universidad abierta interamericana,farmacia,2020-10-13,mr. daniel,knight,male,-42,,Arroyo-balmaceda,darrylhogan@gmail.com
universidad abierta interamericana,farmacia,2020-12-15,melanie,fox,female,-40,,Colonia-duran,hhays@yahoo.com
universidad abierta interamericana,licenciatura en musicoterapia,2020-12-15,brenda,schultz,female,-23,,Calilegua,gwhite@gmail.com
universidad abierta interamericana,licenciatura en gestión de agroalimentos,2021-01-31,christopher,smith,male,14,,La-dorita,jgross@gmail.com
universidad abierta interamericana,actuario,2020-11-06,kathleen,lee,female,1,,Castilla,linda06@yahoo.com
universidad abierta interamericana,agronomía,2021-01-09,dale,rodriguez,male,6,,Colonia-el-aguara,howellmichael@yahoo.com
universidad abierta interamericana,actuario,2020-09-16,kristina,williams,female,-2,,Ascencion,stephanie11@gmail.com
universidad abierta interamericana,actuario,2020-10-03,steven,smith,male,-28,,Ceres,jose07@hotmail.com
universidad abierta interamericana,licenciatura en ciencia política,2020-11-24,angela,davis,female,42,,Villa-santos-tesei,terrimadden@gmail.com
universidad abierta interamericana,diseño industrial,2020-10-02,tracy,mclean,female,29,,Alabama,brownjames@gmail.com
universidad abierta interamericana,licenciatura en ciencias geológicas,2020-09-05,edgar,leach,male,23,,Agua-de-castilla,michael26@gmail.com
universidad abierta interamericana,bioquímica,2020-12-16,katherine,vega,female,-36,,El-lenguaraz,sarah28@yahoo.com
universidad abierta interamericana,diseño de imagen y sonido,2020-12-20,joshua,wheeler,male,44,,Berabevu,fgarza@yahoo.com
universidad abierta interamericana,agronomía,2021-01-23,stephanie,johnson,female,-2,,Igarzabal,hilldanielle@yahoo.com
universidad abierta interamericana,licenciatura en ciencias geológicas,2020-11-18,jessica,lewis,female,12,,Angeloni,jenkinssusan@hotmail.com
universidad abierta interamericana,licenciatura en producción de bioimagenes,2020-11-22,anna,miles,female,10,,Antumpa,hollypace@hotmail.com
universidad abierta interamericana,ingeniería electrónica,2020-09-10,morgan,solomon,female,-27,,17-de-agosto,lawrence30@gmail.com
universidad abierta interamericana,licenciatura en ciencias de la computación,2020-09-28,riley,williams,male,-20,,Carrizal-norte,johnnythompson@gmail.com
universidad abierta interamericana,ingeniería en informática,2020-09-25,timothy,williams,male,33,,Adan-quiroga,reneemorton@gmail.com
universidad abierta interamericana,licenciatura en terapia ocupacional,2020-10-03,paul,howard,male,43,,Condarco,theresahooper@yahoo.com
