	university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
0	 universidad de palermo	agronomía	2020-09-01	dawn	ford	female	87	2944	rio tala	davidfry@yahoo.com
1	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-01	christopher	simpson	male	59	1911	bme bavio gral mansilla	kellyscott@gmail.com
2	 universidad de palermo	ingeniería electrónica	2020-09-01	patrick	mayer	male	105	5541	algarrobal abajo	daniel77@hotmail.com
3	 universidad de palermo	licenciatura en ciencia política 	2020-09-01	eric	monroe	male	82	4605	alisos  de abajo	joseph69@gmail.com
4	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-01	emily	walters	female	121	5741	13 de enero	dchavez@hotmail.com
5	 universidad de palermo	actuario 	2020-09-01	carlos	white	male	107	5515	maipu	jeanette94@yahoo.com
6	 universidad de palermo	licenciatura en ciencias de la educación 	2020-09-01	connie	morrow	female	85	9411	base aerea teniente matienzo	johnsondawn@gmail.com
7	 universidad de palermo	licenciatura en sociología 	2020-09-01	christopher	scott	male	111	4158	campo de talamayo	toddmckee@yahoo.com
8	 universidad de palermo	agronomía	2020-09-01	edward	fowler	male	98	8333	aguada guzman	jeffreycameron@yahoo.com
9	 universidad de palermo	licenciatura en musicoterapia	2020-09-01	michael	pitts	male	101	4516	caimancito	usummers@yahoo.com
10	 universidad de palermo	licenciatura en kinesiología y fisiatría	2020-09-01	sara	hughes	female	70	3485	carandaiti	mooreanthony@gmail.com
11	 universidad de palermo	arquitectura	2020-09-01	michael	barrett	male	112	4705	aguadita	jamiemartin@yahoo.com
12	 universidad de palermo	licenciatura en psicología	2020-09-01	mark	smith	male	92	6743	coliqueo	ashleybarnes@gmail.com
13	 universidad de palermo	técnico para bioterios 	2020-09-01	zachary	taylor	male	57	1678	caseros	michael41@hotmail.com
14	 universidad de palermo	licenciatura en ciencias geológicas	2020-09-02	stephanie	kelley	female	61	4103	bajo de raco	brobertson@yahoo.com
15	 universidad de palermo	farmacia	2020-09-02	cynthia	cohen	female	46	6400	barrio indio trompa	ugarcia@hotmail.com
16	 universidad de palermo	licenciatura en producción de bioimagenes	2020-09-02	amber	thomas	female	62	2154	capitan bermudez	kennedyantonio@gmail.com
17	 universidad de palermo	medicina	2020-09-02	joseph	sampson	male	100	4650	abra de peñas	adamberry@gmail.com
18	 universidad de palermo	ingeniería mecánica	2020-09-02	david	haas	male	117	3061	antonio pini	morganacosta@gmail.com
19	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-02	noah	martinez	male	113	2352	ambrosetti	kaitlyn92@hotmail.com
20	 universidad de palermo	licenciatura en ciencias de la computación	2020-09-02	nicole	walker	female	113	8324	cipolletti	george24@gmail.com
21	 universidad de palermo	licenciatura en artes	2020-09-02	taylor	castillo	male	47	5435	algarrobo grande	zachary32@yahoo.com
22	 universidad de palermo	licenciatura en ciencias antropológicas	2020-09-02	ms.	sierra	female	85	3313	arroyo del medio	thomas52@gmail.com
23	 universidad de palermo	licenciatura en sociología 	2020-09-02	larry	nelson	male	38	8333	aguada guzman	contrerasmelissa@hotmail.com
24	 universidad de palermo	técnico para bioterios 	2020-09-02	elizabeth	williams	female	37	6315	colonia baron	teresa03@hotmail.com
25	 universidad de palermo	licenciatura en psicología	2020-09-02	taylor	mejia	female	103	7245	campo sabate	leah68@yahoo.com
26	 universidad de palermo	licenciatura en musicoterapia	2020-09-02	maria	west	female	59	6237	america	allencarly@yahoo.com
27	 universidad de palermo	licenciatura en ciencias antropológicas	2020-09-02	sherry	robinson	female	64	3229	colonia freitas	richard43@gmail.com
28	 universidad de palermo	medicina	2020-09-02	carolyn	potter	female	78	6438	masurel	gregory94@gmail.com
29	 universidad de palermo	licenciatura en ciencias de la educación 	2020-09-03	nicholas	foster	male	35	7116	camaron chico	alijamie@gmail.com
30	 universidad de palermo	medicina	2020-09-03	kelly	zimmerman	female	105	4643	antiguyos	qpierce@yahoo.com
31	 universidad de palermo	diseño industrial	2020-09-03	jason	henry	male	79	3412	albardon	areynolds@gmail.com
32	 universidad de palermo	licenciatura en ciencias geológicas	2020-09-03	bonnie	gross	female	49	7316	fortin irene	amy35@yahoo.com
33	 universidad de palermo	ingeniería electrónica	2020-09-03	joseph	johnson	male	47	5275	agua colorada	kennethnichols@hotmail.com
34	 universidad de palermo	agronomía	2020-09-03	robert	williams	male	90	6640	asamblea	caseandrea@hotmail.com
35	 universidad de palermo	licenciatura en sociología 	2020-09-03	emily	jenkins	female	42	1636	la lucila	wdaniels@gmail.com
36	 universidad de palermo	licenciatura en administración 	2020-09-03	robert	carpenter	male	103	8424	aguada de guerra	josephhernandez@gmail.com
37	 universidad de palermo	agronomía	2020-09-03	leah	copeland	female	24	1771	mercado central	ruthgordon@yahoo.com
38	 universidad de palermo	licenciatura en relaciones del trabajo 	2020-09-03	debra	garcia	female	26	9227	el porvenir	higginslaura@yahoo.com
39	 universidad de palermo	contador público 	2020-09-04	diana	walker	female	116	2119	arminda	cmartinez@yahoo.com
40	 universidad de palermo	diseño de imagen y sonido	2020-09-04	karen	chambers	female	115	6075	arenaza	hsalas@hotmail.com
41	 universidad de palermo	técnico para bioterios 	2020-09-04	caitlin	hudson	female	93	8187	bordenave	kellymorales@gmail.com
42	 universidad de palermo	licenciatura en ciencias antropológicas	2020-09-04	sandra	foster	female	45	3191	arroyo ceibo	simsnicole@hotmail.com
43	 universidad de palermo	licenciatura en terapia ocupacional	2020-09-04	kristina	shields	female	102	6073	el triunfo	xavierwalsh@gmail.com
44	 universidad de palermo	diseño de imagen y sonido	2020-09-04	richard	sullivan	male	61	5509	agrelo	evansjose@hotmail.com
45	 universidad de palermo	ingeniería electrónica	2020-09-04	timothy	pratt	male	46	3252	aldea san jorge	qwatts@gmail.com
46	 universidad de palermo	licenciatura en gestión de agroalimentos	2020-09-04	roger	barron	male	102	8124	berraondo	nicole29@yahoo.com
47	 universidad de palermo	licenciatura en administración 	2020-09-04	tim	peterson	male	98	2821	arroyo del cura	kennethcunningham@yahoo.com
48	 universidad de palermo	contador público 	2020-09-04	lisa	hurst	female	51	5301	agua blanca	mquinn@hotmail.com
49	 universidad de palermo	licenciatura en ciencia política 	2020-09-04	anthony	hernandez	male	108	3230	arbol solo	stephen22@gmail.com
50	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-04	christine	moran	female	109	7150	ayacucho	gomezpatricia@gmail.com
51	 universidad de palermo	ingeniería en informática	2020-09-04	cheryl	lucas	female	59	7511	balneario oceano	kaylacampbell@yahoo.com
52	 universidad de palermo	licenciatura en psicología	2020-09-04	nicole	powell	female	48	8000	adela corti	annettelopez@gmail.com
53	 universidad de palermo	agronomía	2020-09-04	joshua	martinez	male	116	3381	maria magdalena	mikesanchez@gmail.com
54	 universidad de palermo	licenciatura en ciencias ambientales	2020-09-04	carolyn	brown	female	104	6431	estacion lago epecuen	brodriguez@yahoo.com
55	 universidad de palermo	diseño industrial	2020-09-04	nathan	yates	male	64	3476	el remanso	ginasilva@yahoo.com
56	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-04	catherine	williams	female	101	5403	barrialitos	juliehenderson@gmail.com
57	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-04	miguel	george	male	103	3364	2 de mayo	jackmcdonald@yahoo.com
58	 universidad de palermo	licenciatura en kinesiología y fisiatría	2020-09-04	david	stewart	male	119	1842	el jaguel	resparza@gmail.com
59	 universidad de palermo	licenciatura en terapia ocupacional	2020-09-04	olivia	murphy	female	26	3423	arañita	diane98@yahoo.com
60	 universidad de palermo	licenciatura en administración 	2020-09-04	dawn	atkins	female	102	3080	colonia pujol	gavinstewart@hotmail.com
61	 universidad de palermo	licenciatura en musicoterapia	2020-09-05	leslie	hopkins	female	107	6441	colonia baron hirsch	conwaylinda@gmail.com
62	 universidad de palermo	licenciatura en gestión de agroalimentos	2020-09-05	peter	wallace	male	25	4728	chumbicha	morganwright@gmail.com
63	 universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2020-09-05	luis	glover	male	69	4500	alto del saladillo	dgarcia@hotmail.com
64	 universidad de palermo	licenciatura en ciencia política 	2020-09-05	katherine	barton	female	62	1881	san francisco solano	nguyenelizabeth@yahoo.com
65	 universidad de palermo	licenciatura en ciencias de la educación 	2020-09-05	robert	johnson	male	40	5465	baños pismanta	matthewsjack@gmail.com
66	 universidad de palermo	licenciatura en musicoterapia	2020-09-05	julie	santiago	female	56	7243	antonio carboni	christina96@yahoo.com
67	 universidad de palermo	licenciatura en ciencias antropológicas	2020-09-05	linda	hawkins	female	118	5565	campo de los andes	hayeshailey@gmail.com
68	 universidad de palermo	licenciatura en ciencias geológicas	2020-09-05	lauren	walker	female	119	1804	canning	madisonberry@hotmail.com
