	university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
0	universidad nacional de jujuy	licenciatura en ciencias biológicas	2020-09-01	wendy	lee	female	60	6331	colonia beaufort	amandavalencia@hotmail.com
1	universidad nacional de jujuy	agronomía	2020-09-01	christopher	austin	male	28	6365	azteazu	joshuastevens@hotmail.com
2	universidad nacional de jujuy	bioquímica	2020-09-01	elizabeth	lyons	female	61	3192	colonia bertozzi	ythompson@hotmail.com
3	universidad nacional de jujuy	licenciatura en ciencia y tecnología de alimentos	2020-09-01	jade	parrish	female	83	1862	america unida	gonzalesaustin@hotmail.com
4	universidad nacional de jujuy	técnico para bioterios	2020-09-01	travis	benson	male	101	4640	abra pampa	sbaker@gmail.com
5	universidad nacional de jujuy	bioquímica	2020-09-01	martin	solomon	male	65	3701	almirante brown	marksmith@hotmail.com
6	universidad nacional de jujuy	licenciatura en gestión de agroalimentos	2020-09-01	christopher	moss	male	73	3246	achiras	normansarah@hotmail.com
7	universidad nacional de jujuy	licenciatura en gestión de agroalimentos	2020-09-01	andre	white	male	57	7303	altona	rubiojessica@yahoo.com
8	universidad nacional de jujuy	licenciatura en psicología	2020-09-01	brian	clarke	male	23	7407	libano	daniel03@yahoo.com
9	universidad nacional de jujuy	actuario	2020-09-02	donald	padilla	male	5	3701	almirante brown	kathryncohen@hotmail.com
10	universidad nacional de jujuy	licenciatura en administración	2020-09-02	megan	fowler	female	94	5835	bella vista	ericellis@yahoo.com
11	universidad nacional de jujuy	licenciatura en producción de bioimagenes	2020-09-02	jessica	valentine	female	107	5637	30 de octubre	garrettgomez@hotmail.com
12	universidad nacional de jujuy	licenciatura en ciencia política	2020-09-02	marc	jones	male	74	7169	juancho	amy88@yahoo.com
13	universidad nacional de jujuy	licenciatura en relaciones del trabajo	2020-09-02	joanna	lopez	female	25	8000	adela corti	larastephanie@hotmail.com
14	universidad nacional de jujuy	licenciatura en ciencias de la computación	2020-09-02	andrew	bishop	male	83	8126	aldea san andres	jacquelinebailey@yahoo.com
15	universidad nacional de jujuy	licenciatura en ciencia política	2020-09-02	ryan	allen	male	13	8403	alicura	pamela24@hotmail.com
16	universidad nacional de jujuy	actuario	2020-09-02	william	macias	male	8	2709	los indios	kaylee92@yahoo.com
17	universidad nacional de jujuy	medicina	2020-09-02	alyssa	weiss	female	46	8364	chimpay	zhoward@gmail.com
18	universidad nacional de jujuy	contador público	2020-09-02	lisa	boone	female	32	7007	caminera napaleofu	zmcgrath@gmail.com
19	universidad nacional de jujuy	licenciatura en artes	2020-09-03	stephanie	hernandez	female	93	3158	20 de septiembre	rhondasmith@gmail.com
20	universidad nacional de jujuy	licenciatura en psicología	2020-09-03	mr.	jason	male	87	6064	eduardo costa	katelynwagner@yahoo.com
21	universidad nacional de jujuy	licenciatura en terapia ocupacional	2020-09-03	jennifer	cox	female	38	8183	avestruz	hughesjames@gmail.com
22	universidad nacional de jujuy	licenciatura en terapia ocupacional	2020-09-03	eric	white	male	37	5883	alto lindo	ebowers@gmail.com
23	universidad nacional de jujuy	ingeniería en informática	2020-09-03	christine	dixon	female	99	5413	apeadero las chimbas	daviddecker@hotmail.com
24	universidad nacional de jujuy	licenciatura en planificación y diseño del paisaje	2020-09-03	brenda	foster	female	60	2718	lierra adjemiro	umoody@hotmail.com
25	universidad nacional de jujuy	ingeniería electrónica	2020-09-03	marilyn	murphy	female	81	3575	arroyo ceibal	kimberlydavis@yahoo.com
26	universidad nacional de jujuy	técnico para bioterios	2020-09-03	lori	price	female	87	5736	comandante granville	rebecca20@yahoo.com
27	universidad nacional de jujuy	licenciatura en ciencias ambientales	2020-09-03	jennifer	wilson	female	103	2705	haras san jacinto	brianbrown@hotmail.com
28	universidad nacional de jujuy	licenciatura en artes	2020-09-03	dr.	kimberly	female	46	9400	an aike	nwebster@yahoo.com
29	universidad nacional de jujuy	medicina	2020-09-04	scott	moore	male	47	2804	campana	jamescampbell@hotmail.com
30	universidad nacional de jujuy	ingeniería electrónica	2020-09-04	tammy	moore	female	59	6605	campo peña lopez	shannonhall@hotmail.com
31	universidad nacional de jujuy	licenciatura en ciencias biológicas	2020-09-04	john	anderson	male	85	8520	aguada del loro	ryanjackson@hotmail.com
32	universidad nacional de jujuy	licenciatura en terapia ocupacional	2020-09-04	jamie	jackson	female	110	5721	agua seballe	smithcassidy@hotmail.com
33	universidad nacional de jujuy	licenciatura en sociología	2020-09-04	collin	estrada	male	70	3620	kilometro 184	michael67@yahoo.com
34	universidad nacional de jujuy	bioquímica	2020-09-04	jason	hardy	male	9	5473	aguayo	ogrant@yahoo.com
35	universidad nacional de jujuy	licenciatura en kinesiología y fisiatría	2020-09-04	ethan	combs	male	87	4504	23 de agosto	grayashley@hotmail.com
36	universidad nacional de jujuy	licenciatura en ciencias geológicas	2020-09-04	anthony	deleon	male	75	1886	ranelagh	benjamin52@yahoo.com
37	universidad nacional de jujuy	licenciatura en ciencias geológicas	2020-09-04	nicholas	gordon	male	59	7020	benito juarez	bruce59@yahoo.com
38	universidad nacional de jujuy	actuario	2020-09-04	ashley	oconnell	female	41	7116	camaron chico	pjackson@hotmail.com
39	universidad nacional de jujuy	bioquímica	2020-09-05	travis	lopez	male	102	2340	ceres	reyesmarc@hotmail.com
40	universidad nacional de jujuy	bioquímica	2020-09-05	matthew	pugh	male	34	6326	anguil	justin85@hotmail.com
41	universidad nacional de jujuy	licenciatura en psicología	2020-09-05	cassidy	cunningham	female	87	3575	arroyo ceibal	zchandler@hotmail.com
42	universidad nacional de jujuy	licenciatura en musicoterapia	2020-09-05	katrina	owens	female	73	4606	colonia los lapachos	nhobbs@yahoo.com
43	universidad nacional de jujuy	licenciatura en producción de bioimagenes	2020-09-05	nicholas	walker	male	4	3427	abra	heiditurner@gmail.com
44	universidad nacional de jujuy	licenciatura en ciencias ambientales	2020-09-05	nicholas	scott	male	98	5384	punta de los llanos	morrisonjesse@gmail.com
45	universidad nacional de jujuy	licenciatura en relaciones del trabajo	2020-09-05	christopher	porter	male	114	2401	castelar	uchambers@gmail.com
46	universidad nacional de jujuy	licenciatura en sociología	2020-09-05	kimberly	jones	female	13	2126	alvear	espinozagregory@hotmail.com
47	universidad nacional de jujuy	licenciatura en administración	2020-09-05	alexander	martin	male	102	7540	bathurst estacion	marylynch@yahoo.com
48	universidad nacional de jujuy	licenciatura en ciencias geológicas	2020-09-05	james	sparks	male	100	2845	colonia duportal	dancombs@gmail.com
49	universidad nacional de jujuy	licenciatura en ciencias de la computación	2020-09-05	jeffery	cooley	male	92	3252	aldea san jorge	christopherallen@yahoo.com
