university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad nacional de la pampa,licenciatura en musicoterapia,2021-01-22,,brett roberts,male,20,3232,cabred,deannalarson@hotmail.com
universidad nacional de la pampa,licenciatura en gestión de agroalimentos,2021-01-14,,mckenzie mclaughlin,female,14,1629,almirante irizar,turnerjames@hotmail.com
universidad nacional de la pampa,ciencias veterinarias,2021-01-26,,bryan kane,male,10,3252,aldea san jorge,annaglass@yahoo.com
universidad nacional de la pampa,farmacia,2020-12-29,,chad richardson,male,43,3185,colonia la marta,jacksonmichelle@hotmail.com
universidad nacional de la pampa,licenciatura en sociología,2020-09-03,,cassandra odonnell,female,65,7245,campo sabate,jamesthompson@gmail.com
universidad nacional de la pampa,ingeniería en informática,2020-11-20,,jeffrey rivera,male,100,8206,colonia españa,kristaaustin@hotmail.com
universidad nacional de la pampa,ingeniería en informática,2020-10-23,,ann schmidt,female,76,2255,campo rodriguez,michael73@gmail.com
universidad nacional de la pampa,actuario,2020-09-28,,gabrielle johnson,female,23,3071,aguara grande,ipage@hotmail.com
universidad nacional de la pampa,diseño de imagen y sonido,2020-10-22,,samuel tate,male,93,2253,campo gimenez,gwoodard@gmail.com
universidad nacional de la pampa,contador público,2020-12-08,,jamie henderson,female,38,3220,arroyo manganga,coxtanner@yahoo.com
universidad nacional de la pampa,licenciatura en ciencias de la educación,2020-09-13,,mrs. lisa blair phd,female,24,3085,pilar,rjoyce@gmail.com
universidad nacional de la pampa,licenciatura en sociología,2020-11-18,,steven hill,male,7,2405,colonia cello,littleronald@gmail.com
universidad nacional de la pampa,licenciatura en musicoterapia,2020-10-19,,michelle beasley,female,82,3072,la lucila,leoncindy@gmail.com
universidad nacional de la pampa,arquitectura,2020-11-12,,shaun dunn,male,113,5759,calera argentina,ydavis@hotmail.com
universidad nacional de la pampa,licenciatura en ciencia política,2021-01-24,,jamie martin,female,8,6333,alfredo peña,anthony25@gmail.com
universidad nacional de la pampa,licenciatura en ciencias geológicas,2020-12-09,,logan clements,male,83,9410,bahia lapataia,beardpatrick@yahoo.com
universidad nacional de la pampa,ingeniería mecánica,2021-01-17,,carol myers,female,18,2747,coronel isleños,brownjason@yahoo.com
universidad nacional de la pampa,ingeniería electrónica,2020-10-27,,shannon wilson,female,96,6303,cachirulo,darlene98@gmail.com
universidad nacional de la pampa,licenciatura en kinesiología y fisiatría,2020-10-10,,chris bennett,male,90,3122,arroyo corralito,hlewis@yahoo.com
universidad nacional de la pampa,licenciatura en producción de bioimagenes,2020-11-28,,ethan lewis,male,108,3374,el porvenir,eric54@gmail.com
universidad nacional de la pampa,diseño industrial,2021-01-25,,mr. william snow,male,14,5501,cerrillos al sud,ajones@hotmail.com
