university,career,inscription_date,last_name,gender,age,location,email
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,02-10-2020,PHILIP-CORTEZ,M,20-12-1922,BELLA-VISTA,ASHLEY17@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,30-11-2020,TIMOTHY-OLSON,M,24-08-1916,BARKER,CONNIE29@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,07-01-2021,ADRIAN-WILSON,M,02-06-1919,GRUTLY,SCHMIDTCHRISTOPHER@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,16-10-2020,MELISSA-HENDRIX,F,16-12-2012,ARROYO-DEL-MEDIO,CHELSEAWHITE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,01-12-2020,DANIELLE-WATSON,F,02-09-1965,ACEVEDO,RUSSELLGINA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,22-10-2020,GEORGE-NEWMAN,M,16-12-2013,ABRALAITE,LSMITH@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,16-11-2020,KELLY-BARNETT,F,13-12-1951,ALDAO,ROBERTHOLMES@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ACTUARIO-,20-01-2021,STEPHANIE-JORDAN,F,10-06-1928,BARRIO-INDIO-TROMPA,PERRYKIMBERLY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,20-01-2021,JASON-NEWTON,M,18-07-1971,25-DE-MAYO,MARTINBRIANNA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,14-12-2020,MARIAH-THOMAS,F,10-06-1937,BOEUF,CALEXANDER@HOTMAIL.COM
