university,career,inscription_date,first_name,last_name,gender,birth_date,location,email
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,27-05-2020,DANIELLE,GONZALEZ,F,07-07-2005,COLONIA-BARGA,MEADOWSSTEPHANIE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,02-07-2020,MARY,YANG,F,29-08-1985,ARBOL-SOLO,LAURA01@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,31-12-2020,STACEY,MEDINA,F,07-04-1959,ALDEA-BELEIRO,SARAHPHAM@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,29-10-2020,KATHRYN,NICHOLS,F,22-12-2008,COLONIA-BARGA,CHRISTOPHERANDERSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,10-05-2020,BOB,SIMPSON,M,20-02-1976,BERMUDEZ,CPARKER@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,01-01-2021,ERIC,KANE,M,24-02-2009,SAN-JUSTO,JAMES27@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,17-01-2020,DEBRA,LAMBERT,F,25-02-1951,ADAN-QUIROGA,JOHN49@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,05-06-2020,MARK,BASS,M,27-08-1955,CHAPUY,ROBERT74@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,24-07-2020,SAVANNAH,BAILEY,F,10-06-2013,BAHIA-SAN-BLAS,ERINWRIGHT@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,28-06-2020,DOMINIQUE,ALLEN,F,28-10-1957,VILLA-RAFFO,MARTINHOLT@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,13-07-2020,CATHY,JENSEN,F,27-09-1963,SAN-FERNANDO,FMENDEZ@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,20-03-2020,DANIEL,GRANT,M,09-05-2010,RAWSON,THOMASCOURTNEY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,18-05-2020,MICHAEL,SHANNON,M,08-07-1942,ARROYO-QUILLEN,SMITHANGELA@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,16-03-2020,JOHN,FISHER,M,26-06-1989,ARANGUREN,TREVORWOODS@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,18-04-2020,JOHN,NELSON,M,07-02-1982,CAMPO-BOTTO,ANNMARTIN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,17-09-2020,JERRY,BEASLEY,M,30-05-1990,BOQUERON,BROWNMICHAEL@GMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,03-05-2020,RYAN,COLLINS,M,14-12-1933,CHILECITO,STACEY53@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-ELECTRÓNICA,31-03-2020,GAIL,GIBSON,F,07-01-1988,COLONIA-BOMBAL-Y-TABANERA,WHEELERPAMELA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,29-10-2020,DARRELL,CHAPMAN,M,12-07-1960,AGUA-RICA,CTHOMAS@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,15-03-2020,JONATHAN,REEVES,M,25-01-1983,9-DE-JULIO,KRISTA39@GMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,05-02-2020,MELISSA,LEE,F,21-09-1984,AGUIRRE-CUE,ASHLEYSTONE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,01-07-2020,DR.,KIMBERLY,F,11-08-1946,ARROYITO,CURTIS72@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,23-07-2020,KATHRYN,HUNT,F,02-02-1948,BARRO-NEGRO,SUSAN03@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,13-11-2020,KIMBERLY,MOORE,F,19-04-1977,ABRA-GUAZU,NHILL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,24-06-2020,MRS.,ELIZABETH,F,21-06-1974,LA-PORTEÑA,JAYWERNER@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,09-12-2020,CHAD,NELSON,M,22-02-1976,ANTA,BENJAMIN04@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,16-02-2020,CYNTHIA,KING,F,24-05-1943,COLONIA-LOS-TRES-USARIS,RPATEL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,17-05-2020,ANNA,BULLOCK,F,31-12-1926,8-DE-DICIEMBRE,ADAMWRIGHT@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,05-04-2020,RANDALL,STEWART,M,05-06-1928,MORON,SSTANTON@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,16-12-2020,JESSICA,MARKS,F,27-09-1971,COLONIA-CAMPO-PIAGGIO,JEFFREY47@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,12-09-2020,DANIELLE,JOHNSON,F,28-12-1936,DIAMANTE,NUNEZTRACY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,05-08-2020,ANNA,PHELPS,F,26-02-1910,KILOMETRO-23,HUGHESCOURTNEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,26-07-2020,NATASHA,ROBBINS,F,01-12-2000,GENERAL-HORNOS,SMITHJESSICA@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,26-11-2020,PAMELA,LANE,F,09-11-1987,EMPALME-VILLA-CONSTITUCION,LOPEZASHLEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,28-06-2020,ANTONIO,BARRETT,M,16-06-1926,IGARZABAL,LEWISTROY@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-11-2020,APRIL,MARSHALL,F,22-10-1997,DESVIO-BOERO,XLYNCH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,03-06-2020,DONALD,MILLER,M,01-06-1928,LUIS-CHICO,STEPHANIE10@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,04-09-2020,KATHLEEN,DEAN,F,27-05-1969,KILOMETRO-77,WMORRIS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,12-03-2020,AMANDA,WILSON,F,20-01-1947,AGUA-COLORADA,MOODYANGELA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,MATTHEW,FINLEY,M,05-04-1960,AGUARA-CUA,BRIANPARKER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,02-08-2020,TIFFANY,JONES,F,03-01-2008,ATREUCO,TODD30@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PSICOLOGÍA,02-02-2020,JOHN,SMITH,M,24-09-1930,LAS-PERLAS,SUZANNE28@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,19-07-2020,JOHN,WALKER,M,21-08-2020,AVENIDA-EJERCITO-PARANA,SUSANRICE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,12-10-2020,DARIN,LONG,M,25-05-2011,BENITO-JUAREZ,BURNSSTEVEN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,29-06-2020,REBECCA,JOHNSON,F,24-06-2010,ESTANCIA-SANTA-CATALINA,MARCUSPETERSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,23-08-2020,LEAH,DOUGHERTY,F,30-04-1908,ALAMOS,BWHITE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,18-08-2020,DR.,DOUGLAS,M,21-09-2011,COLONIA-EL-POTRERO,HEATHERLEVY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,10-06-2020,STEPHEN,BECK,M,15-06-2021,ALCETE,MITCHELLLISA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,10-04-2020,MEGAN,HERNANDEZ,F,19-10-2017,ISLA-VICTORIA,CHERNANDEZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,03-04-2020,RACHEL,PARKER,F,12-03-1911,BAÑADO-SAN-ANTONIO,ELIZABETHOBRIEN@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,03-09-2020,MATTHEW,ANDERSON,M,17-07-1909,CALERA-LA-NORMA,KAREN35@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,26-10-2020,DAVID,BURNS,M,13-07-1961,ESTACION-CHRISTOPHERSEN,ELIZABETH62@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,15-02-2020,SARA,BARNETT,F,21-10-2020,VILLA-SABOYA,YBUTLER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,24-06-2020,ISABEL,HARRISON,F,27-07-1919,BERDUC,THOMAS32@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,13-05-2020,KEVIN,MURPHY,M,02-10-1955,AMBROSETTI,CATHY39@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,31-07-2020,MEGAN,COLE,F,15-02-1954,ARROYITO,SANCHEZNICOLE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,15-08-2020,CHRISTINE,CHRISTENSEN,F,27-07-2008,4-DE-NOVIEMBRE,VPETERS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,12-06-2020,HENRY,HICKS,M,01-04-1997,ARROYO-DEL-REY,RIOSTIMOTHY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,12-07-2020,WILLIAM,RICHARDS,M,20-12-1970,CAICHUE,NYODER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,07-10-2020,AUSTIN,HENSLEY,M,28-04-1955,22-DE-DICIEMBRE,XDELGADO@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-DE-IMAGEN-Y-SONIDO,09-08-2020,WALTER,GALLOWAY,M,25-08-1907,FLAMENCO,STUART97@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,11-08-2020,JAMES,LIN,M,12-03-1915,MUÑIZ,DENISE47@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,01-04-2020,SARAH,KNAPP,F,08-11-2010,AGUA-COLORADA,TJOHNSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,AGRONOMÍA,01-02-2020,MRS.,TERESA,F,27-10-1951,ACHALCO,ERICKEITH@GMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,31-03-2020,BRANDI,WARNER,F,25-02-1982,COLONIA-DURAN,DAVID96@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,28-12-2020,CHARLES,HERNANDEZ,M,02-02-1929,APARICIO,WCOLEMAN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,19-09-2020,CHRISTOPHER,NELSON,M,06-01-1980,ESTACION-LA-RINCONADA,STEPHENSJENNIFER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,22-02-2020,MICHAEL,TURNER,M,08-10-2017,GENERAL-RODRIGUEZ,MACKCHRISTOPHER@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,29-08-2020,ANGELA,ANDERSEN,F,17-08-1907,ARROYO-SAN-JUAN,EDWARDSLINDA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,24-01-2020,BRIAN,SCHMITT,M,07-08-2007,ALDEA-ASUNCION,AMYMALDONADO@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-ELECTRÓNICA,03-05-2020,LAUREN,WILLIAMS,F,10-09-1919,ARROYITO,UWARD@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,26-01-2020,CARLOS,WILLIAMS,M,06-05-1929,ARBOL-VERDE,QHOLT@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,15-03-2020,MATTHEW,LESTER,M,25-06-1992,AGUADA-FLORENCIO,COLIN73@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,12-02-2020,MICHAEL,SPENCER,M,28-01-1947,ALTA-ITALIA,AGUILARJOHN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,02-06-2020,ROBERT,SMITH,M,08-12-1983,CLAUDIO-C-MOLINA,FISHERBRENDA@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,27-04-2020,KELLY,BURGESS,F,10-05-1947,CACIQUE-ARIACAIQUIN,KLAWSON@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ARTES,01-08-2020,RICHARD,HARRINGTON,M,11-12-1938,ARROYO-CLARO,KSMITH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,19-04-2020,SEAN,BARKER,M,21-01-1975,CAMPO-QUIÑONES,CHERRYTARA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,17-10-2020,MELISSA,BROWN,F,08-07-1948,EL-TALAR,JJONES@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,10-06-2020,JESSICA,ORTEGA,F,31-03-1971,ARAÑITA,GSHANNON@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,21-02-2020,JASON,HOWARD,M,22-11-2017,RICARDONE,MEGANBENNETT@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,05-10-2020,THERESA,BAKER,F,30-07-2013,IRENEO-PORTELA,BDAVIS@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-DE-IMAGEN-Y-SONIDO,29-02-2020,MASON,STEELE,M,10-12-1959,PONTAUT,DEANNA55@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,30-06-2020,JUAN,FRANK,M,22-01-1997,EL-PORVENIR,TOWNSENDMICHELE@GMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,26-02-2020,SEAN,SALAZAR,M,06-11-1917,BARRIO-JARDIN-LUZURIAGA,WESLEY59@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,25-10-2020,STEPHANIE,MITCHELL,F,02-11-2017,CAPDEPONT,WELLSJACOB@GMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,10-11-2020,ROSS,BEAN,M,13-06-2013,COLONIA-SAN-EDUARDO,ANNA71@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,10-12-2020,BOBBY,SMITH,M,26-05-1961,AGUILARES,BRUCE09@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,31-07-2020,MARIO,JENNINGS,M,21-06-1976,ALPACHIRI,ALEXISJOSEPH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,07-02-2020,ASHLEY,HUGHES,F,27-07-1985,CARBOMETAL,LAURA49@GMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,01-04-2020,KENNETH,ROBERTS,M,14-12-1967,SAN-ANDRES,OSCHULTZ@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,08-08-2020,BETTY,ASHLEY,F,25-08-1915,REALICO,CHAD81@GMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,11-08-2020,BROOKE,MURPHY,F,26-11-1955,25-DE-MAYO,RWRIGHT@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,27-06-2020,CARLY,RAY,F,18-08-1964,JOSE-CLEMENTE-PAZ,PATRICIA76@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,23-12-2020,JAMES,CUMMINGS,M,04-08-1909,LLAVALLOL,XJOHNSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,19-11-2020,WANDA,HARRISON,F,23-11-1993,CARCARAÑA,ROBERTBAILEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ARTES,13-06-2020,MS.,ROBIN,F,25-08-2017,GENERAL-RODRIGUEZ,ERICHARDSON@GMAIL.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,30-03-2020,PAUL,BECK,M,06-07-1953,AVANZADA,FLEE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,12-08-2020,ELLEN,RIVERA,F,10-10-2019,ISLA-GRAN-MALVINA,BROWNHENRY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,15-02-2020,JOSEPH,RODRIGUEZ,M,12-06-1939,CARLOS-TEJEDOR,RYAN16@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,09-10-2020,AMY,MORSE,F,27-04-1947,PALANTELEN,NANCYHORTON@GMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,29-02-2020,REBEKAH,NELSON,F,15-07-1979,CAMPO-SANTO-DOMINGO,ANDERSONSHELBY@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,28-08-2020,KEVIN,HENDRICKS,M,23-06-2005,CAMPO-CHARO,MELISSALOPEZ@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,14-11-2020,JILL,TRAN,F,11-06-1942,ARROYO-URQUIZA,GARNERCHRISTINA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,21-08-2020,GABRIEL,WILSON,M,30-05-1975,ALDEA-SAN-GREGORIO,COOPERWILLIAM@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,01-06-2020,SUSAN,HOFFMAN,F,12-09-1979,ALBARRACIN,FHILL@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,10-07-2020,MOLLY,SMITH,F,01-09-1929,CATAMONTAÑA,AARON43@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,09-02-2020,MARY,PENA,F,03-06-1974,AGUADA-SAN-ROQUE,ALYSSALOPEZ@GMAIL.COM
UNIVERSIDAD-DEL-CINE,MEDICINA,13-10-2020,BRENDA,WRIGHT,F,22-04-1981,ALIANZA,FBURTON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,12-01-2020,FRANCISCO,ALVAREZ,M,10-01-1978,EL-DURAZNO,WMORGAN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,10-01-2020,ALICIA,HUGHES,F,10-06-1958,ALPASINCHE,RAMIREZTIMOTHY@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,11-09-2020,MELISSA,DAVIS,F,19-07-1980,COLONIA-EL-SIMBOL,KSNYDER@YAHOO.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,04-10-2020,LORI,WILEY,F,24-06-1928,VILLA-RUIZ,KYLESMITH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,27-08-2020,NATASHA,KING,F,21-09-2011,AGUAS-VERDES,AVERYKELLIE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,04-09-2020,AMY,SOTO,F,09-08-1930,MASUREL,BRYANTCHRISTINA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,02-06-2020,JULIE,CAMPBELL,F,30-01-1963,CAÑADON-BOTELLO,RGARCIA@YAHOO.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,14-03-2020,MARIE,TURNER,F,30-09-1946,DEL-VALLE,JREED@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,20-09-2020,JAMIE,WILSON,F,16-03-1985,ACEILAN,MURPHYCALEB@GMAIL.COM
UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,04-03-2020,JAMIE,PATTERSON,F,19-08-1959,ARROYO-MAGDALENA,REBECCA21@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,MEDICINA,13-02-2020,DONALD,CHRISTENSEN,M,04-09-1944,CROTTO,VWALKER@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,03-06-2020,LORRAINE,SHIELDS,F,22-02-2016,ALCORTA,LBUTLER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,29-11-2020,KEVIN,MILLER,M,01-04-1950,ALTO-VERDE,SHORTMICHAEL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,10-04-2020,ALYSSA,WRIGHT,F,05-10-1948,SARANDI,THOMPSONZACHARY@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,19-07-2020,SARAH,HARRIS,F,28-04-1988,CAMPO-SANTO-DOMINGO,CARLAMARTIN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,09-05-2020,SHANE,ZHANG,M,06-05-1981,ALDAO,KEVIN75@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,13-02-2020,VALERIE,MILLER,F,13-09-1913,CARLOS-PELLEGRINI,DAVE10@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,22-04-2020,MR.,MARC,M,22-11-2003,BAUER-Y-SIGEL,SUSAN18@GMAIL.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,22-08-2020,CHRISTOPHER,BANKS,M,18-12-1984,ACARAGUA,MANNINGCHARLENE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,05-09-2020,ISAAC,ARMSTRONG,M,10-10-1998,AEROPUERTO-EZEIZA,STEPHANIEWARD@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,12-05-2020,STEPHANIE,ANDERSON,F,31-05-1965,ASERRADERO-ARROYO,FHARRISON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,12-04-2020,CYNTHIA,HALL,F,15-02-2018,BAHIA-LAPATAIA,VLEE@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,23-02-2020,BRIAN,LAMB,M,13-04-1957,CANDIOTI,OLSENDONNA@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,12-07-2020,MIRANDA,CHAVEZ,F,13-11-2017,BAJO-GUAZU,JORDANALYSSA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,10-04-2020,NICOLE,ALEXANDER,F,17-07-2005,AERO-CLUB-ROSARIO,DAVIDDAVIS@YAHOO.COM
